ISO	Country	url	url2
AUS	Australia	pic/AUS_wheel.png	
AUT	Austria	pic/AUT_wheel.png	
BEL	Belgium	pic/BEL_wheel.png	
CAN	Canada	pic/CAN_wheel.png	
CHL	Chile	pic/CHL_wheel.png	
COL	Colombia	pic/COL_wheel.png	
CRI	Costa Rica	pic/CRI_wheel.png	
CZE	Czech Republic	pic/CZE_wheel.png	
DNK	Denmark	pic/DNK_wheel.png	
EST	Estonia	pic/EST_wheel.png	
FIN	Finland	pic/FIN_wheel.png	
FRA	France	pic/FRA_wheel.png	
DEU	Germany	pic/DEU_wheel.png	
GRC	Greece	pic/GRC_wheel.png	
HUN	Hungary	pic/HUN_wheel.png	
ISL	Iceland	pic/ISL_wheel.png	
IRL	Ireland	pic/IRL_wheel.png	
ISR	Israel	pic/ISR_wheel.png	
ITA	Italy	pic/ITA_wheel.png	
JPN	Japan	pic/JPN_wheel.png	
KOR	Korea	pic/KOR_wheel.png	
LVA	Latvia	pic/LVA_wheel.png	
LTU	Lithuania	pic/LTU_wheel.png	
LUX	Luxembourg	pic/LUX_wheel.png	
MEX	Mexico	pic/MEX_wheel.png	
NLD	Netherlands	pic/NLD_wheel.png	
NOR	Norway	pic/NOR_wheel.png	
NZL	New Zealand	pic/NZL_wheel.png	
OECD	OECD	pic/OECD_wheel.png	
POL	Poland	pic/POL_wheel.png	
PRT	Portugal	pic/PRT_wheel.png	
SVK	Slovak Republic	pic/SVK_wheel.png	
SVN	Slovenia	pic/SVN_wheel.png	
ESP	Spain	pic/ESP_wheel.png	
SWE	Sweden	pic/SWE_wheel.png	
CHE	Switzerland	pic/CHE_wheel.png	
TUR	Türkiye	pic/TUR_wheel.png	
GBR	United Kingdom	pic/GBR_wheel.png	
USA	United States	pic/USA_wheel.png	
